track_name,artist,album,release_date,duration_ms,popularity,spotify_url
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Taylor Swift,Red (Taylor's Version),2021-11-12,299080,68,https://open.spotify.com/track/0y6kdSRCVQhSsHSpWvTUm7
Holy Ground (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,202960,63,https://open.spotify.com/track/7J4b3LVCIGO4CMBDFLPoP6
Sad Beautiful Tragic (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,284773,65,https://open.spotify.com/track/73qMN9bXy7MSPwwGfH3wQr
The Lucky One (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,240466,62,https://open.spotify.com/track/4e5ayHsOLJNLTGfjau2mEw
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,Red (Taylor's Version),2021-11-12,245426,70,https://open.spotify.com/track/7qEUFOVcxRI19tbT68JcYK
Starlight (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,220413,62,https://open.spotify.com/track/7A2cNLRT0YJc1yjxHlKihs
Begin Again (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,238866,68,https://open.spotify.com/track/05GsNucq8Bngd9fnd4fRa0
The Moment I Knew (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,285280,62,https://open.spotify.com/track/0NRHj8hDwwmSPaA41o379r
Come Back...Be Here (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,223333,66,https://open.spotify.com/track/4pNApnaUWAL2J4KO2eqokq
Girl At Home (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,220520,61,https://open.spotify.com/track/0DMVrlMUn01M0IcpDbwgu7
State Of Grace (Acoustic Version) (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,321640,61,https://open.spotify.com/track/5jAIouBES8LWMiriuNq170
Ronan (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,264253,57,https://open.spotify.com/track/7nWui6jiMM2m9qFmET1Mtj
the lakes - original version,Taylor Swift,the lakes (original version),2021-07-24,227203,59,https://open.spotify.com/track/0UAdDYrkCvVQftaKpL6q5f
